Date/Time,Electricity:HVAC [J](TimeStep),Heating:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep),InteriorLights:Electricity [J](TimeStep),Electricity:Facility [J](Hourly) 
 01/10  20:00:00,13830621.081433492,9921491.174719024,0.0,17868113.99999996,47076142.28143344 
 01/10  21:00:00,39258574.875675656,34401354.98838177,0.0,10720868.399999974,62793949.275675625 
 01/10  22:00:00,40461070.60633891,35603850.71904503,0.0,10720868.399999974,63996445.00633887 
 01/10  23:00:00,53752178.626087084,48894958.738793194,0.0,3573622.799999992,67577406.22608708 
 01/10  24:00:00,56896766.243957125,52039546.35666324,0.0,1786811.399999996,68935182.44395712 
 01/11  01:00:00,58353808.8187418,53496588.931447916,0.0,1786811.399999996,70392225.01874179 
 01/11  02:00:00,59150257.558982305,54293037.671688415,0.0,1786811.399999996,71188673.7589823 
 01/11  03:00:00,59018313.450617015,54161093.56332314,0.0,1786811.399999996,71056729.65061702 
 01/11  04:00:00,59762771.765442014,54905551.87814813,0.0,1786811.399999996,71801187.96544202 
 01/11  05:00:00,60424075.330132544,55566855.442838654,0.0,1786811.399999996,72462491.53013253 
 01/11  06:00:00,58447453.18439296,53590233.297099076,0.0,3573622.799999992,72272680.78439294 
 01/11  07:00:00,94884150.86020546,90026930.97291158,0.0,3573622.799999992,108709378.46020545 
 01/11  08:00:00,75036463.83939877,70179243.9521049,0.0,10720868.399999974,96008937.03939874 
 01/11  09:00:00,20852889.71746339,15995669.830169505,0.0,32162605.199999925,76081605.7174633 
 01/11  10:00:00,11371338.387073306,6514118.499779426,0.0,32162605.199999925,66600054.387073226 
 01/11  11:00:00,9431653.799123263,4574433.91182938,0.0,32162605.199999925,64660369.79912318 
 01/11  12:00:00,6352104.688209239,2480936.233837415,0.0,32162605.199999925,61580820.68820915 
 01/11  13:00:00,3783980.666636274,893556.1444181163,0.0,32162605.199999925,56449795.46663618 
 01/11  14:00:00,3138268.804666125,0.0,523585.9943436576,32162605.199999925,58366984.80466604 
 01/11  15:00:00,5640911.877905317,0.0,3795737.4552122327,32162605.199999925,60869627.877905235 
 01/11  16:00:00,6852517.177687049,0.0,5533318.566754442,32162605.199999925,62081233.17768697 
 01/11  17:00:00,5035895.427078377,0.0,3701618.703842925,32162605.199999925,60264611.42707829 
